PERIODO;Varsueldo
12/2015;0,0%
01/2016;0,0%
02/2016;0,0%
03/2016;0,0%
04/2016;0,0%
05/2016;0,5%
06/2016;7,0%
07/2016;14,4%
08/2016;7,0%
09/2016;0,0%
10/2016;0,0%
11/2016;0,0%
12/2016;3,2%
01/2017;0,0%
02/2017;0,0%
03/2017;0,0%
04/2017;0,0%
05/2017;0,5%
06/2017;5,0%
07/2017;4,8%
08/2017;4,5%
09/2017;4,6%
10/2017;0,0%
11/2017;0,0%
12/2017;0,0%
01/2018;0,0%
02/2018;0,0%
03/2018;1,2%
04/2018;1,2%
05/2018;1,2%
06/2018;1,2%
07/2018;3,0%
08/2018;2,6%
09/2018;0,0%
10/2018;2,1%
11/2018;2,0%
12/2018;3,4%
01/2019;6,3%
02/2019;4,2%
03/2019;0,0%
04/2019;1,7%
05/2019;1,2%
06/2019;4,0%
07/2019;6,7%
08/2019;5,6%
09/2019;0,0%
10/2019;0,7%
11/2019;0,0%
12/2019;0,0%
01/2020;6,9%
02/2020;1,5%
03/2020;0,0%
04/2020;0,0%
05/2020;0,5%
06/2020;0,0%
07/2020;0,0%
08/2020;0,0%
09/2020;4,1%
10/2020;2,8%
11/2020;0,0%
12/2020;0,0%
01/2021;0,0%
02/2021;3,7%
03/2021;5,4%
04/2021;0,0%
05/2021;7,4%
06/2021;10,0%
07/2021;9,3%
08/2021;11,9%
09/2021;0,2%
10/2021;0,2%
11/2021;0,0%
12/2021;0,0%
01/2022;3,7%
02/2022;2,0%
03/2022;3,0%
04/2022;4,8%
05/2022;7,0%
06/2022;16,0%
07/2022;9,3%
08/2022;0,9%
09/2022;0,0%
10/2022;9,4%
11/2022;7,1%
12/2022;6,3%
01/2023;9,7%
02/2023;10,0%
03/2023;0,0%
04/2023;2,4%
05/2023;6,0%
06/2023;7,0%
07/2023;16,2%
08/2023;7,0%
09/2023;11,0%
10/2023;16,2%
11/2023;5,1%
12/2023;9,0%
01/2024;29,9%
02/2024;0,0%
03/2024;8,0%
04/2024;0,0%
05/2024;12,2%
06/2024;0,0%
07/2024;4,6%
08/2024;0,1%
09/2024;2,0%
10/2024;1,0%
11/2024;2,0%
12/2024;0,0%
01/2025;1,0%
02/2025;0,0%
03/2025;2,7%
04/2025;3,9%
05/2025;0,0%
06/2025;1,0%
07/2025;5,9%
08/2025;0,0%
09/2025;0,0%
10/2025;1,2%
11/2025;1,1%

